,productGroup,asin,categories,categoryTree,rootCategory,nodepath,nodeID
32,Kitchen,B00023IV4C,"[24065233011, 289833, 13900821]","[{'catId': 265523, 'name': 'Stores'}, {'catId': 120337644011, 'name': 'Arborist Merchandising Root'}, {'catId': 2740349011, 'name': 'Self Service'}, {'catId': 2740350011, 'name': 'Special Features Stores'}, {'catId': 120337645011, 'name': 'bdb4ab35-5f7e-422a-b6d6-a39c540e89e2_0'}, {'catId': 120337688011, 'name': 'bdb4ab35-5f7e-422a-b6d6-a39c540e89e2_4901'}, {'catId': 23686064011, 'name': 'Breakroom'}, {'catId': 23686097011, 'name': 'Kitchen Appliances'}, {'catId': 24065233011, 'name': 'Coffee, Tea & Espresso Appliances'}]",265523,,
33,Kitchen,B00008WUS5,"[24065798011, 82795864011, 289774, 13900821]","[{'catId': 265523, 'name': 'Stores'}, {'catId': 120337644011, 'name': 'Arborist Merchandising Root'}, {'catId': 2740349011, 'name': 'Self Service'}, {'catId': 2740350011, 'name': 'Special Features Stores'}, {'catId': 120337645011, 'name': 'bdb4ab35-5f7e-422a-b6d6-a39c540e89e2_0'}, {'catId': 120337688011, 'name': 'bdb4ab35-5f7e-422a-b6d6-a39c540e89e2_4901'}, {'catId': 23686064011, 'name': 'Breakroom'}, {'catId': 24005362011, 'name': 'Power & Accessories'}, {'catId': 24065798011, 'name': 'Cooking Utensils'}]",265523,,
34,Home,B0093UR3TE,"[3732781, 13900821]","[{'catId': 1055398, 'name': 'Home & Kitchen'}, {'catId': 1063252, 'name': 'Bedding'}, {'catId': 1063274, 'name': 'Sheets & Pillowcases'}, {'catId': 3732781, 'name': 'Sheet & Pillowcase Sets'}]",1055398,,
35,Home,B000OJKFEI,"[3735871, 13900821]","[{'catId': 1055398, 'name': 'Home & Kitchen'}, {'catId': 1063278, 'name': 'Home Décor Products'}, {'catId': 1063300, 'name': 'Slipcovers'}, {'catId': 3735871, 'name': 'Dining Chair Slipcovers'}]",1055398,,
36,Home,B000NPNQS0,"[10671044011, 13900821]","[{'catId': 1055398, 'name': 'Home & Kitchen'}, {'catId': 1063252, 'name': 'Bedding'}, {'catId': 17874224011, 'name': 'Mattress Pads & Toppers'}, {'catId': 10671044011, 'name': 'Mattress Pads'}]",1055398,,
37,Home Improvement,B00D72SD7U,"[3736241, 13900821]","[{'catId': 1055398, 'name': 'Home & Kitchen'}, {'catId': 1063278, 'name': 'Home Décor Products'}, {'catId': 1063302, 'name': 'Window Treatments'}, {'catId': 3736181, 'name': 'Blinds & Shades'}, {'catId': 3736241, 'name': 'Cellular Shades'}]",1055398,,
38,Home,B006MQY020,"[8521807011, 13900811, 13900821]","[{'catId': 1055398, 'name': 'Home & Kitchen'}, {'catId': 1063252, 'name': 'Bedding'}, {'catId': 17874224011, 'name': 'Mattress Pads & Toppers'}, {'catId': 8521807011, 'name': 'Mattress Toppers'}]",1055398,,
39,Home,B005TOXB4Y,"[3731741, 13900821]","[{'catId': 1055398, 'name': 'Home & Kitchen'}, {'catId': 1063236, 'name': 'Bath'}, {'catId': 1063244, 'name': 'Towels'}, {'catId': 3731741, 'name': 'Washcloths'}]",1055398,,
40,Home,B004EJGVEM,"[3735611, 13900821]","[{'catId': 1055398, 'name': 'Home & Kitchen'}, {'catId': 1063278, 'name': 'Home Décor Products'}, {'catId': 21557027011, 'name': 'Photo Albums, Frames & Accessories'}, {'catId': 1063286, 'name': 'Picture Frames'}, {'catId': 3735611, 'name': 'Wall & Tabletop Frames'}]",1055398,,
41,Home,B00FB6N9GA,"[14236311, 13900821]","[{'catId': 1055398, 'name': 'Home & Kitchen'}, {'catId': 1063278, 'name': 'Home Décor Products'}, {'catId': 3736311, 'name': 'Window Treatment Hardware'}, {'catId': 3736331, 'name': 'Window Rods'}, {'catId': 14236311, 'name': 'Single Rods'}]",1055398,,
